ieee;model;device_name;custom_name
a4:6d:d4:ff:fe:5b:88:4b;Remote Control N2;Laundry light remote Control N2;
b4:35:22:ff:fe:a6:c6:44;Remote Control N2;Dining room light remote control N2;
b4:35:22:ff:fe:7c:99:1a;Remote Control N2;Kitchen light remote control N2;
a4:c1:38:7e:80:fb:29:d5;TS0503B;Living room RGB strip window TZ3210;
d4:48:67:ff:fe:fe:18:7c;RODRET Dimmer;Shower sauna light remote RODRET;
a4:c1:38:8f:75:b9:84:74;TY0201;Bedroom temperature and humidity sensor TZ3000;
58:8e:81:ff:fe:5a:55:24;TRADFRI open/close remote;Dining room remote blinder garden TRADFRI;
94:b2:16:ff:fe:e6:57:a5;TRADFRI bulb E14 WS candle 470lm;Storage light TRADFRI;
90:39:5e:ff:fe:e6:cb:e1;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 1 TRADFRI;
34:10:f4:ff:fe:a7:86:90;TRADFRI motion sensor;Kitchen motion sensor TRADFRI;
34:10:f4:ff:fe:ac:d7:11;unk_model;Toilet motion sensor TRADFRI;
a4:c1:38:20:6e:17:1b:fd;TLSR82xx;Second floor hall light AwoX;
a4:c1:38:97:08:b8:40:94;TS0203;Closet door sensor TZ3000;
a4:c1:38:d2:74:b6:e1:af;TS0201;Laundry temperature and humidity sensor TZ3000;
a4:c1:38:f4:f7:d4:83:6d;TS0201;Workshop temperature and humidity sensor TZ3000;
a4:c1:38:f1:b8:9b:17:ce;TS0001;Workshop ceiling light TZ3000;
a4:c1:38:43:18:34:05:f3;TS0001;Entrance mirror lamp switch TZ3000;
7c:c6:b6:ff:fe:81:f9:46;Remote Control N2;Living room doll house switch N2;
84:fd:27:ff:fe:74:25:a9;TRADFRI Driver 10W;IKEA of Sweden TRADFRI Driver 10W;
a4:6d:d4:ff:fe:50:39:a8;TRADFRI bulb E14 WS candle 470lm;Second floor toilet lamp 1 TRADFRI;
90:39:5e:ff:fe:e3:ac:39;TRADFRI bulb E14 WS candle 470lm;Second floor toilet lamp 2 TRADFRI;
88:0f:62:ff:fe:66:3f:22;RODRET wireless dimmer;Second floor toilet remote RODRET;
5c:c7:c1:ff:fe:83:4f:bd;SOMRIG shortcut button;Entrance lights remote SOMRIG;
f0:74:bf:ff:fe:e7:9d:0f;VALLHORN Wireless Motion Sensor;First floor toilet motion sensor VALLHORN;
f0:74:bf:ff:fe:e7:97:67;VALLHORN Wireless Motion Sensor;Laundry motion sensor VALLHORN;
a4:c1:38:7a:40:b8:68:bb;ZB-CL01;Laundry RGB led strip eWeLight;
